대분류,신용체크구분,개인법인구분,중분류,소분류,롯데카드,비씨카드,비씨카드 기타,삼성카드,신한카드,우리카드,하나카드,현대카드,KB국민카드,NH농협카드,합계,기준년월
해외이용금액,신용카드,개인,일시불,일반,172728,65022,182932,414532,411025,177033,205450,539475,373531,101972,2460768,202402
해외이용금액,신용카드,개인,할부,일반,0,0,0,25865,23420,0,0,28838,0,0,78123,202402
해외이용금액,신용카드,개인,현금서비스,현금서비스,1144,1331,2510,2902,4294,2374,2456,2950,5368,1662,24481,202402
해외이용금액,신용카드,법인,일시불,일반,101207,161613,100590,77334,139531,83145,108959,52377,112501,23744,860411,202402
해외이용금액,신용카드,법인,현금서비스,현금서비스,8,855,89,36,0,82,38,0,57,57,1133,202402
해외이용금액,직불/체크카드,개인,일반,일반,886,15915,47402,810,131310,104505,405235,2119,73746,63143,797669,202402
해외이용금액,직불/체크카드,법인,일반,일반,0,24206,14365,0,20971,12551,24863,0,20831,6406,109828,202402
회원수,신용카드,개인,전체회원수,합계,9339,5525,10055,12877,14349,7140,6314,12148,12088,8480,-,202402
회원수,신용카드,개인,전체회원수,본인기준회원수,9110,5502,9979,12671,13917,7097,6209,11822,11850,0,-,202402
회원수,신용카드,개인,신규회원수(월중),합계,105,152,67,95,103,51,76,121,136,122,-,202402
회원수,신용카드,개인,신규회원수(월중),본인기준회원수,104,152,66,93,97,51,75,115,132,0,-,202402
회원수,신용카드,개인,해지회원수(월중),해지회원수(월중),91,69,107,86,101,72,67,73,100,92,-,202402
회원수,신용카드,개인,전체이용회원수,합계,7011,2717,6816,9946,10917,5056,4290,9281,9408,0,-,202402
회원수,신용카드,개인,전체이용회원수,신판이용회원수,7003,2709,6793,9935,10892,5054,4278,9261,9365,0,-,202402
회원수,신용카드,개인,사용가능회원수(월말),합계,8497,5168,9670,11518,13012,6108,5385,11004,10910,8290,-,202402
회원수,신용카드,개인,사용가능회원수(월말),본인기준회원수,8314,5147,9598,11344,12669,6070,5286,10718,10696,0,-,202402
